strength,dosage,fR1,fR3
37,20,2.85,3.37
37,25,3.35,3.98
37,30,3.85,4.56
37,35,4.35,5.1
37,40,4.85,5.61
40,20,2.97,3.5
40,25,3.49,4.13
40,30,4.01,4.72
40,35,4.54,5.28
40,40,5.06,5.81
45,20,3.09,3.63
45,25,3.63,4.27
45,30,4.18,4.88
45,35,4.72,5.46
45,40,5.27,6.01
50,20,3.34,3.89
50,25,3.92,4.57
50,30,4.51,5.22
50,35,5.1,5.83
50,40,5.69,6.41
55,20,3.59,4.17
55,25,4.22,4.88
55,30,4.85,5.56
55,35,5.48,6.21
55,40,6.12,6.82
60,20,3.84,4.45
60,25,4.52,5.2
60,30,5.2,5.91
60,35,5.87,6.59
60,40,6.55,7.24
67,20,4.11,4.74
67,25,4.82,5.52
67,30,5.54,6.27
67,35,6.26,6.99
67,40,6.98,7.67